text,left,top,width,height,confidence,level,page_num,block_num,par_num,line_num,word_num
DIAGNOSTIC,184,60,256,31,96.0,5,1,1,1,1,1
REPORT,457,60,170,31,96.0,5,1,1,1,1,2
8,2110,87,10,12,1.0,5,1,1,1,1,3
Q,1427,94,106,31,83.0,5,1,1,1,2,1
&,1597,98,75,25,65.0,5,1,1,1,2,2
SSS,1418,116,100,27,52.0,5,1,1,1,3,1
(em,1596,117,89,21,51.0,5,1,1,1,3,2
inex,1412,136,137,42,21.0,5,1,1,1,4,1
(SS),1571,117,117,72,29.0,5,1,1,1,4,2
be,2101,143,53,28,53.0,5,1,1,1,4,3
thaws,1432,193,97,39,41.0,5,1,1,1,5,1
LPS,1585,207,91,22,54.0,5,1,1,1,5,2
Diagnostics,2098,191,298,59,96.0,5,1,1,1,5,3
MC-3003,1561,248,110,20,92.0,5,1,1,1,6,1
PATIENT,168,328,162,24,95.0,5,1,1,1,7,1
NAME,345,328,104,24,79.0,5,1,1,1,7,2
:,465,334,7,18,79.0,5,1,1,1,7,3
N,501,328,22,24,88.0,5,1,1,1,7,4
PRABHAKAR,541,327,230,25,96.0,5,1,1,1,7,5
REF.,1444,328,77,24,96.0,5,1,1,1,7,6
DOCTOR:,1538,327,155,26,95.0,5,1,1,1,7,7
SELF,1737,327,75,24,96.0,5,1,1,1,7,8
CODE/NAME,167,380,202,27,91.0,5,1,1,1,8,1
&,382,380,24,22,93.0,5,1,1,1,8,2
ADDRESS,416,380,154,22,93.0,5,1,1,1,8,3
:,593,386,6,16,89.0,5,1,1,1,8,4
‘ACCESSION,1073,384,181,34,39.0,5,1,1,1,8,6
NO,1269,388,41,23,93.0,5,1,1,1,8,7
:,1327,394,4,16,90.0,5,1,1,1,8,8
0042WD000493,1345,384,298,26,55.0,5,1,1,1,8,9
:70,1938,383,52,26,73.0,5,1,1,1,8,11
Years,2004,383,90,26,96.0,5,1,1,1,8,12
Male,2188,382,73,27,96.0,5,1,1,1,8,13
RELEX,168,428,102,25,92.0,5,1,1,1,9,1
HEALTHCARE,287,428,215,26,96.0,5,1,1,1,9,2
SERVICES,516,428,168,26,96.0,5,1,1,1,9,3
INDIA,699,428,100,25,96.0,5,1,1,1,9,4
PVT,814,428,61,25,84.0,5,1,1,1,9,5
LTD,885,428,56,25,84.0,5,1,1,1,9,6
IPATIENTID,1073,434,171,34,38.0,5,1,1,1,9,7
—,1285,423,21,59,16.0,5,1,1,1,9,8
:,1322,450,4,16,41.0,5,1,1,1,9,9
NPRAM04045342,1346,446,284,26,54.0,5,1,1,1,9,10
{DRAWN,1747,434,122,34,76.0,5,1,1,1,9,11
__:04/04/2023,1938,439,209,31,37.0,5,1,1,1,9,12
00:00:00,2163,440,153,26,96.0,5,1,1,1,9,13
PLOT,168,475,83,26,93.0,5,1,1,1,10,1
"63/A,",265,475,88,31,92.0,5,1,1,1,10,2
GROUND,369,475,147,26,96.0,5,1,1,1,10,3
"FLOOR,",533,475,117,31,92.0,5,1,1,1,10,4
RAGHAVENDRA,670,475,257,26,90.0,5,1,1,1,10,5
i,1073,471,4,34,81.0,5,1,1,1,10,6
i,1747,471,4,34,94.0,5,1,1,1,10,7
NILAYARL,168,470,158,81,1.0,5,1,1,1,11,1
7TH,344,516,58,25,83.0,5,1,1,1,11,2
"PHASE,KPHB",423,516,211,31,90.0,5,1,1,1,11,3
"COLONY,HYDERABAD",649,516,358,31,90.0,5,1,1,1,11,4
=,1035,495,15,56,38.0,5,1,1,1,11,5
{CLIENT,1073,503,115,40,64.0,5,1,1,1,11,6
PATIENT,1198,495,113,56,89.0,5,1,1,1,11,7
ID:,1326,503,42,22,92.0,5,1,1,1,11,8
RECEIVED,1747,503,162,40,18.0,5,1,1,1,11,9
:,1936,509,4,16,91.0,5,1,1,1,11,10
04/04/2023,1951,498,196,31,96.0,5,1,1,1,11,11
12:21:57,2165,499,152,26,96.0,5,1,1,1,11,12
HYDERABAD,168,564,205,25,96.0,5,1,1,1,12,1
500072,390,564,123,26,96.0,5,1,1,1,12,2
{ABHA,1073,546,89,47,60.0,5,1,1,1,12,3
NO,1175,552,41,23,94.0,5,1,1,1,12,4
:,1325,558,4,16,92.0,5,1,1,1,12,5
